timestep, red, green, robot_middle
27984, [462 682], [429 777], [445 729]
28017, [463 682], [427 777], [445 729]
28050, [464 681], [428 775], [446 728]
28083, [462 680], [429 773], [445 726]
28116, [464 679], [431 771], [447 725]
28149, [464 678], [429 770], [446 724]
28182, [465 678], [429 770], [447 724]
28215, [464 678], [432 768], [448 723]
28248, [464 675], [431 767], [447 721]
28281, [465 676], [433 766], [449 721]
28314, [466 672], [430 767], [448 719]
28347, [466 670], [433 764], [449 717]
28380, [466 671], [432 764], [449 717]
28413, [466 669], [433 763], [449 716]
28446, [466 671], [432 761], [449 716]
28545, [471 663], [432 761], [451 712]
28578, [470 664], [433 759], [451 711]
2871, [443 505], [537 516], [490 510]
28809, [470 657], [437 751], [453 704]
28842, [472 657], [437 751], [454 704]
29007, [473 651], [439 744], [456 697]
29106, [473 650], [439 742], [456 696]
29139, [473 649], [440 739], [456 694]
29238, [477 645], [441 739], [459 692]
29403, [478 641], [442 735], [460 688]
29469, [478 639], [443 732], [460 685]
29502, [476 641], [443 731], [459 686]
29535, [479 637], [443 731], [461 684]
29568, [481 636], [445 728], [463 682]
29634, [479 635], [442 727], [460 681]
29733, [480 631], [443 725], [461 678]
29799, [482 628], [444 723], [463 675]
29964, [485 625], [448 719], [466 672]
29997, [483 621], [444 712], [463 666]
3003, [438 505], [535 514], [486 509]
30030, [483 622], [451 715], [467 668]
30096, [485 623], [451 713], [468 668]
30129, [485 618], [452 712], [468 665]
30162, [490 623], [452 710], [471 666]
30195, [486 618], [452 711], [469 664]
30261, [486 617], [452 709], [469 663]
30294, [487 616], [447 703], [467 659]
30327, [485 614], [453 706], [469 660]
3036, [437 505], [532 514], [484 509]
30360, [487 614], [448 701], [467 657]
30393, [488 612], [448 703], [468 657]
3069, [438 505], [534 515], [486 510]
30690, [491 604], [455 696], [473 650]
30723, [491 603], [457 695], [474 649]
30756, [491 602], [455 695], [473 648]
30789, [492 602], [456 694], [474 648]
30822, [492 600], [456 693], [474 646]
30921, [494 598], [456 689], [475 643]
